symptoms,disease,symptoms_processed
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",Hypoglycemia,vomit fatigue anxiety sweat headache nausea blur distorted vision excessive hunger dry tingle lip slur speech irritability palpitation
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain acidity ulcer tongue vomit cough chest pain
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",Psoriasis,skin rash joint pain skin peeling silver like dust small dent nails inflammatory nail
"vomiting,breathlessness,chest pain",Heart Attack,vomit breathlessness chest pain
My skin sometimes peels off because of my rashes. I get sick more often because of it. My hands sometimes shake and I get shaky.,Drug Reaction,skin sometimes peels rash get sick often hand sometimes shake get shaky
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",Osteoarthristis,joint pain neck pain knee pain hip joint pain swell joint painful walk
"chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain",Typhoid,"chill vomit fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look typhos ), belly pain"
I have been feeling very thirsty and hungry lately. I also feel very tired at times.,Diabetes,feel thirsty hungry lately also feel tired time
"stiff neck,swelling joints,movement stiffness,painful walking",Arthritis,stiff neck swell joint movement stiffness painful walking
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,slurred speech,irritability,palpitations",Hypoglycemia,vomit fatigue anxiety sweat headache nausea blur distorted vision excessive hunger slur speech irritability palpitation
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever yellowish skin dark urine nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"continuous sneezing,shivering,watering from eyes",Allergy,continuous sneeze shiver water eye
"vomiting,headache,weakness of one body side,altered sensorium",Paralysis (Brain Hemorrhage),vomit headache weakness one body side alter sensorium
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing weight loss restlessness sweat diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
"stomach pain,acidity,ulcers on tongue,cough,chest pain",Gerd,stomach pain acidity ulcer tongue cough chest pain
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",Alcoholic Hepatitis,vomit yellowish skin abdominal pain swell stomach distention abdomen history alcohol consumption fluid overload
"fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",Diabetes,fatigue weight loss restlessness lethargy irregular sugar level blur distorted vision obesity excessive hunger increase appetite polyuria
"skin rash,blackheads,scurring",Acne,skin rash blackhead scurring
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",Arthritis,muscle weakness stiff neck swell joint movement stiffness painful walking
"chills,high fever,sweating,headache,nausea,diarrhoea,muscle pain",Malaria,chill high fever sweat headache nausea diarrhoea muscle pain
"I've been feeling really sick lately. I've been getting chills and I'm always tired. I have this cough that just won't go away. It's really hard to breathe when I cough and my chest hurts. I've also been coughing up this really gross, rusty phlegm.",Pneumonia,feel really sick lately get chill always tire cough go away really hard breathe cough chest hurt also cough really gross rusty phlegm
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",Hypoglycemia,vomit fatigue anxiety sweat headache nausea blur distorted vision excessive hunger dry tingle lip slur speech irritability palpitation
"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",Chronic Cholestasis,itch vomit yellowish skin nausea loss appetite abdominal pain yellow eye
I have been experiencing a high fever for the past few days. I also feel weak and my muscles pain. I cannot work all day because of this.,Dengue,experience high fever past day also feel weak muscle pain cannot work day
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",Arthritis,muscle weakness stiff neck swell joint movement stiffness painful walking
"fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs swollen blood vessel prominent vein calf
"I've been feeling very sick. I have a high fever, shortness of breath, and I'm sweating and shivering. I've also been coughing up a lot of brownish phlegm and my heart is racing.",Pneumonia,feel sick high fever shortness breath sweat shiver also cough lot brownish phlegm heart racing
"itching,skin rash,stomach pain,burning micturition",Drug Reaction,itch skin rash stomach pain burning micturition
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain acidity ulcer tongue vomit cough chest pain
"skin rash,pus filled pimples,blackheads",Acne,skin rash pu fill pimple blackhead
"itching,skin rash,stomach pain,burning micturition,spotting  urination",Drug Reaction,itch skin rash stomach pain burn micturition spot urination
"chills,vomiting,high fever,sweating,headache,diarrhoea,muscle pain",Malaria,chill vomit high fever sweat headache diarrhoea muscle pain
My neck has been extremely stiff and my muscles have been extremely weak. I have difficulty moving around without feeling stiff because of the swelling in my joints. Walking is also very difficult.,Arthritis,neck extremely stiff muscle extremely weak difficulty move around without feel stiff swell joint walk also difficult
"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue weight loss cough high fever breathlessness sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",Peptic Ulcer Diseae,indigestion loss appetite abdominal pain passage gas internal itching
I have a really strong appetite and I'm always hungry. My stomach sometimes aches and cramps. I have really painful gas and bloating after eating.,Peptic Ulcer Disease,really strong appetite always hungry stomach sometimes ache cramp really painful gas bloating eat
"vomiting,headache,weakness of one body side,altered sensorium",Paralysis (Brain Hemorrhage),vomit headache weakness one body side alter sensorium
"itching,skin rash,nodal skin eruptions,dischromic  patches",Fungal Infection,itch skin rash nodal skin eruption dischromic patch
"chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",Malaria,chill vomit high fever sweat headache nausea diarrhoea muscle pain
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",Jaundice,itch vomit fatigue weight loss high fever yellowish skin dark urine abdominal pain
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",Peptic Ulcer Diseae,vomit indigestion loss appetite abdominal pain passage gas internal itching
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",Psoriasis,skin rash joint pain skin peeling silver like dust small dent nails inflammatory nail
"weakness in limbs,neck pain,dizziness,loss of balance",Cervical Spondylosis,weakness limb neck pain dizziness loss balance
"fatigue,high fever,breathlessness,family history,mucoid sputum",Bronchial Asthma,fatigue high fever breathlessness family history mucoid sputum
"chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",Malaria,chill vomit high fever sweat headache nausea diarrhoea muscle pain
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",Alcoholic Hepatitis,vomit yellowish skin abdominal pain swell stomach distention abdomen history alcohol consumption fluid overload
I've been coughing a lot and it's hard to breathe. I've been coughing up a lot of mucus and my fever is high.,Bronchial Asthma,cough lot hard breathe coughing lot mucus fever high
I have been experiencing a lot of itching and redness on my skin. I have also noticed that my nails are becoming brittle and have started to develop dents. I am worried that this could be a sign of something more serious.,Psoriasis,experience lot itch redness skin also notice nail become brittle start develop dent worry could sign something serious
"itching,skin rash,nodal skin eruptions,dischromic  patches",Fungal Infection,itch skin rash nodal skin eruption dischromic patch
"acidity,indigestion,headache,blurred and distorted vision,stiff neck,depression,irritability,visual disturbances",Migraine,acidity indigestion headache blur distorted vision stiff neck depression irritability visual disturbance
"headache,chest pain,dizziness,loss of balance,lack of concentration",Hypertension,headache chest pain dizziness loss balance lack concentration
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"fatigue,cough,high fever,breathlessness,family history,mucoid sputum",Bronchial Asthma,fatigue cough high fever breathlessness family history mucoid sputum
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",Dimorphic Hemmorhoids(Piles),constipation pain bowel movement pain anal region bloody stool irritation anus
"I've been having a hard time breathing lately. I feel like I can't get enough air, and I'm always coughing. I've also been really tired, and I've been coughing up a lot of mucus. I'm not sure what's wrong with me, but I'm really worried.",Bronchial Asthma,hard time breathe lately feel like get enough air always cough also really tired coughing lot mucus sure wrong really worried
"vomiting,nausea,spinning movements,loss of balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo,vomit nausea spin movement loss balance unsteadiness
I have a metallic taste in my mouth and my tongue feels weird. I also have joint and muscle pain.,Drug Reaction,metallic taste mouth tongue feel weird also joint muscle pain
"fatigue,cramps,bruising,obesity,swollen legs,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs prominent vein calf
"joint pain,vomiting,yellowish skin,dark urine,nausea,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin dark urine nausea abdominal pain diarrhoea mild fever yellow eye muscle pain
"constipation,pain in anal region,bloody stool,irritation in anus",Dimorphic Hemmorhoids(Piles),constipation pain anal region bloody stool irritation anus
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",Arthritis,muscle weakness stiff neck swell joint movement stiffness painful walking
"vomiting,sweating,chest pain",Heart Attack,vomit sweat chest pain
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain acidity ulcer tongue vomit cough chest pain
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",Arthritis,muscle weakness stiff neck swell joint movement stiffness painful walking
"chills,fatigue,cough,high fever,breathlessness,malaise,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough high fever breathlessness malaise phlegm chest pain fast heart rate rusty sputum
"skin rash,pus filled pimples,blackheads,scurring",Acne,skin rash pu fill pimple blackhead scurring
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"I've been feeling really down lately, and my pee smells like rotten eggs. My kidney area hurts, and I can't seem to hold my urine in. I have to go to the bathroom all the time.",Urinary Tract Infection,feel really lately pee smell like rotten egg kidney area hurt seem hold urine go bathroom time
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch fatigue lethargy yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",Alcoholic Hepatitis,vomit yellowish skin abdominal pain swell stomach distention abdomen history alcohol consumption fluid overload
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever yellowish skin dark urine nausea loss appetite abdominal pain yellow eye coma stomach bleeding
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever yellowish skin dark urine nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo,vomit headache nausea spin movement loss balance unsteadiness
"I have a really high fever, I'm so itchy, I'm shaking and I've been throwing up. I've also got a headache and I've been sweating a lot. I'm also feeling really sick to my stomach and my muscles are aching.",Malaria,really high fever itchy shake throw also get headache sweating lot also feel really sick stomach muscle ache
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",Dimorphic Hemmorhoids(Piles),constipation pain bowel movement pain anal region bloody stool irritation anus
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite abdominal pain
"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",Hypothyroidism,fatigue weight gain cold hand feets mood swing lethargy dizziness enlarge thyroid brittle nail swollen extremeties depression irritability abnormal menstruation
"yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",Hepatitis C,yellowish skin nausea loss appetite yellow eye family history
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",Dimorphic Hemmorhoids(Piles),constipation pain bowel movement pain anal region bloody stool irritation anus
"chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",Malaria,chill vomit high fever sweat headache nausea diarrhoea muscle pain
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever yellowish skin dark urine nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",Osteoarthristis,joint pain neck pain knee pain hip joint pain swell joint painful walk
"I've been feeling really sick lately. My nose is running like crazy, and I can't stop sneezing. I'm also exhausted and have a fever.",Common Cold,feel really sick lately nose run like crazy stop sneezing also exhaust fever
"constipation,pain during bowel movements,bloody stool,irritation in anus",Dimorphic Hemmorhoids(Piles),constipation pain bowel movement bloody stool irritation anus
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",Hypoglycemia,vomit fatigue anxiety sweat headache nausea blur distorted vision excessive hunger dry tingle lip slur speech irritability palpitation
"weakness in limbs,neck pain,dizziness,loss of balance",Cervical Spondylosis,weakness limb neck pain dizziness loss balance
"itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",Chicken Pox,itch skin rash fatigue lethargy high fever headache loss appetite mild fever swell lymph node malaise red spot body
"vomiting,sunken eyes,dehydration,diarrhoea",Gastroenteritis,vomit sunken eye dehydration diarrhoea
"vomiting,sweating,chest pain",Heart Attack,vomit sweat chest pain
"vomiting,dehydration,diarrhoea",Gastroenteritis,vomit dehydration diarrhoea
"acidity,indigestion,headache,blurred and distorted vision,excessive hunger,depression,irritability,visual disturbances",Migraine,acidity indigestion headache blur distorted vision excessive hunger depression irritability visual disturbance
"acidity,indigestion,headache,blurred and distorted vision,excessive hunger,depression,irritability,visual disturbances",Migraine,acidity indigestion headache blur distorted vision excessive hunger depression irritability visual disturbance
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever yellowish skin dark urine nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"vomiting,headache,weakness of one body side,altered sensorium",Paralysis (Brain Hemorrhage),vomit headache weakness one body side alter sensorium
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",Jaundice,itch vomit fatigue weight loss high fever yellowish skin dark urine abdominal pain
"headache,chest pain,dizziness,loss of balance,lack of concentration",Hypertension,headache chest pain dizziness loss balance lack concentration
"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue weight loss cough high fever breathlessness sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",Psoriasis,skin rash joint pain skin peeling silver like dust small dent nails inflammatory nail
"continuous sneezing,shivering,chills,watering from eyes",Allergy,continuous sneeze shiver chill water eye
I have a rash on my face that is not healing. I have tried some medications but it is not helping much. I also have small sores near my nose that are painful and difficult to handle.,Impetigo,rash face heal tried medication help much also small sore near nose painful difficult handle
"muscle wasting,patches in throat,high fever,extra marital contacts",Aids,muscle waste patch throat high fever extra marital contact
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",Peptic Ulcer Diseae,vomit indigestion loss appetite abdominal pain passage gas internal itching
"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo,vomit headache nausea spin movement loss balance unsteadiness
"fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",Diabetes,fatigue weight loss restlessness lethargy irregular sugar level blur distorted vision obesity excessive hunger increase appetite polyuria
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever yellowish skin dark urine nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"I have a mild fever and blood in my urine. My head hurts almost constantly, and I frequently have to urinate very badly. I also have a pain in my lower back.",Urinary Tract Infection,mild fever blood urine head hurt almost constantly frequently urinate badly also pain low back
"continuous sneezing,chills,watering from eyes",Allergy,continuous sneeze chill water eye
"fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",Diabetes,fatigue weight loss restlessness lethargy irregular sugar level blur distorted vision obesity excessive hunger increase appetite polyuria
"skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body",Dengue,skin rash chill joint pain vomit fatigue high fever headache nausea loss appetite pain behind eye back pain malaise muscle pain red spot body
"headache,dizziness,loss of balance,lack of concentration",Hypertension,headache dizziness loss balance lack concentration
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
"joint pain,vomiting,fatigue,yellowish skin,dark urine,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine loss appetite abdominal pain yellow eye
"chills,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill cough high fever breathlessness sweat malaise phlegm chest pain fast heart rate rusty sputum
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",Hypoglycemia,vomit fatigue anxiety sweat headache nausea blur distorted vision excessive hunger dry tingle lip slur speech irritability palpitation
"chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough high fever breathlessness sweat malaise phlegm chest pain fast heart rate rusty sputum
"breathlessness,sweating,chest pain",Heart Attack,breathlessness sweat chest pain
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",Hepatitis C,fatigue yellowish skin nausea loss appetite yellow eye family history
"skin rash,high fever,blister,red sore around nose",Impetigo,skin rash high fever blister red sore around nose
"chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough high fever breathlessness sweat malaise phlegm chest pain fast heart rate rusty sputum
"vomiting,headache,weakness of one body side,altered sensorium",Paralysis (Brain Hemorrhage),vomit headache weakness one body side alter sensorium
"skin rash,blackheads,scurring",Acne,skin rash blackhead scurring
"I've been having trouble breathing lately. I've been coughing a lot, and my chest feels tight. I've also been feeling very tired and weak.",Bronchial Asthma,trouble breathe lately cough lot chest feel tight also feel tire weak
"weakness in limbs,neck pain,dizziness,loss of balance",Cervical Spondylosis,weakness limb neck pain dizziness loss balance
"chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough breathlessness sweat malaise phlegm chest pain fast heart rate rusty sputum
